,Year,Mon,tmax,tmin
4030,1982,2,9.7,1.1
4031,1982,2,9.3,-1.8
4032,1982,2,7.9,-0.4
4033,1982,2,8.9,-1.5
4034,1982,2,11.2,-0.8
4035,1982,2,13.4,0.9
4036,1982,2,11.3,1.6
4037,1982,2,10.6,6.5
4038,1982,2,12.1,6.2
4039,1982,2,10.5,2.5
4040,1982,2,13.4,1.0
4041,1982,2,9.9,6.3
4042,1982,2,11.3,3.0
4043,1982,2,9.5,-0.3
4044,1982,2,10.5,1.0
4045,1982,2,11.5,-1.2
4046,1982,2,13.6,4.0
4047,1982,3,7.8,1.3
4048,1982,3,9.6,-0.6
4049,1982,3,9.6,-1.1
4050,1982,3,13.5,3.6
4051,1982,3,11.5,4.3
4052,1982,3,8.0,0.4
4053,1982,3,6.4,-1.2
4054,1982,3,9.8,-2.1
4055,1982,3,12.4,5.1
4056,1982,3,13.6,3.4
4057,1982,3,15.2,1.7
4058,1982,3,11.8,6.1
4059,1982,3,16.0,4.6
4060,1982,3,12.0,8.7
4061,1982,3,15.0,8.2
4062,1982,3,13.4,4.2
4063,1982,3,9.8,2.7
4064,1982,3,13.4,3.2
4065,1982,3,10.6,7.2
4066,1982,3,14.6,7.5
4067,1982,3,14.9,4.7
4068,1982,3,14.9,2.6
4069,1982,3,17.2,8.0
4070,1982,3,11.5,2.8
4071,1982,3,11.6,1.9
4072,1982,3,12.9,1.2
4073,1982,3,14.6,1.9
4074,1982,3,15.6,1.9
4075,1982,3,14.3,4.9
4076,1982,3,13.2,7.3
4077,1982,3,17.3,7.0
4078,1982,4,15.1,7.6
4079,1982,4,15.7,7.4
4080,1982,4,12.3,8.2
4081,1982,4,11.8,7.3
4082,1982,4,14.2,4.2
4083,1982,4,15.2,8.2
4084,1982,4,18.4,9.7
4085,1982,4,18.8,6.4
4086,1982,4,11.0,2.5
4087,1982,4,16.0,3.9
4088,1982,4,14.6,3.4
4089,1982,4,18.1,6.0
4090,1982,4,16.5,7.5
4091,1982,4,20.9,10.1
4092,1982,4,18.8,6.1
4093,1982,4,16.8,7.8
4094,1982,4,16.1,6.6
4095,1982,4,17.7,5.9
4096,1982,4,19.8,4.2
4097,1982,4,15.6,5.2
4098,1982,4,17.2,8.8
4099,1982,4,18.4,7.3
4100,1982,4,19.8,7.7
4101,1982,4,21.5,10.8
4102,1982,4,20.2,11.4
4103,1982,4,17.9,13.8
4104,1982,4,16.3,13.4
4105,1982,4,17.2,13.1
4106,1982,4,20.5,12.1
4107,1982,4,15.6,11.7
4108,1982,5,14.3,10.0
4109,1982,5,20.1,11.6
4110,1982,5,17.8,11.9
